"year","month","day","mean_speed"
2018,11,1,29.311838970067
2018,11,2,28.9706613341235
2018,11,3,29.3290980565926
2018,11,4,31.608320467506
2018,11,5,30.6053994952787
2018,11,6,29.5420583844413
2018,11,7,29.3642925516952
2018,11,8,28.8493929446282
2018,11,9,28.8216920671598
2018,11,10,30.1060527081612
2018,11,11,32.1075733127521
2018,11,12,31.519108610116
2018,11,13,29.7165535550397
2018,11,14,28.9108898383508
2018,11,15,28.5918283140997
2018,11,16,28.9839867558834
2018,11,17,29.3082167778113
2018,11,18,31.8886187394128
2018,11,19,29.952958627631
2018,11,20,29.4601776069281
2018,11,21,29.9861625163174
2018,11,22,33.9570844629378
2018,11,23,32.3107037085624
2018,11,24,32.5495647122228
2018,11,25,33.9042531769832
2018,11,26,29.0699648264212
2018,11,27,29.0651542226625
2018,11,28,28.5588458830514
2018,11,29,29.2658432504862
2018,11,30,28.7459560156969
2018,12,1,29.7101798430496
2018,12,2,31.5938514670045
2018,12,3,30.3105025788523
2018,12,4,29.185651249091
2018,12,5,28.8304798513416
2018,12,6,28.7855851844983
2018,12,7,28.9956346511585
2018,12,8,30.3558194284529
2018,12,9,31.5920124645334
2018,12,10,29.7200279765364
2018,12,11,28.2048375128306
2018,12,12,28.761639937079
2018,12,13,28.0236365121806
2018,12,14,28.7548923558752
2018,12,15,30.0963776502466
2018,12,16,31.6032418487227
2018,12,17,29.8918130659155
2018,12,18,28.8556045888118
2018,12,19,29.4627311999746
2018,12,20,29.0256384761942
2018,12,21,29.9255863207944
2018,12,22,31.505580752731
2018,12,23,32.3214083730682
2018,12,24,34.1562231474523
2018,12,25,38.1118314943437
2018,12,26,33.1489382403907
2018,12,27,32.0002979181572
2018,12,28,30.821735523089
2018,12,29,31.8777443122673
2018,12,30,32.3535221916375
2018,12,31,31.248085935283
